Make/Model/Trim,Year,Mileage,Price,URL,4WD?,Notes
GX 460,2018,49510,38995,https://www.carsforsale.com/vehicle/details/81449078,Yes,"New Body Style, White"
GX 460,2018,43455,39499,https://www.carsforsale.com/vehicle/details/86029049,Yes,"New Body Style, Starfire Pearl"
GX 460,2013,135936,19995,https://www.carsforsale.com/vehicle/details/82147453,Yes,White
GX 460,2010,129091,20495,https://www.carsforsale.com/vehicle/details/82306920,Yes,Black
GX 460,2011,111173,21995,https://www.carsforsale.com/vehicle/details/86037253,Yes,White
GX 460,2011,133146,21950,https://www.carsforsale.com/vehicle/details/86644030,Yes,Black
GX 460,2011,129374,22800,https://www.carsforsale.com/vehicle/details/85209400,Yes,Black
GX 460,2016,102000,30998,https://www.carmax.com/car/22451501,Yes,"New Body Style, White"
GX 460,2014,70000,33998,https://www.carmax.com/car/22770029,Yes,"New Body Style, White, New Tires"
GX 460,2017,55000,37998,https://www.carmax.com/car/22760497,Yes,"New Body Style, Gray"
GX 460,2011,121968,22997,https://www.carsforsale.com/vehicle/details/84307465,Yes,Silver
GX 460,2012,130540,23499,https://www.carsforsale.com/vehicle/details/85567088,Yes,Black
GX 460,2013,136240,24900,https://www.carsforsale.com/vehicle/details/86364035,Yes,Gray
GX 460,2016,56718,33595,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=638528767&allListingType=all-cars&maxPrice=35000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&maxMileage=100000&searchRadius=0&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=25&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-35000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3Fdma%3D%26maxMileage%3D100000%26searchRadius%3D0%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D25&clickType=listing,Yes,"New Body Style, Gray"
GX 460,2015,68254,31942,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=647670956&allListingType=all-cars&maxPrice=35000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&maxMileage=100000&searchRadius=0&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-35000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3Fdma%3D%26maxMileage%3D100000%26searchRadius%3D0%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=spotlight,Yes,"New Body Style, Silver Lining Metallic"
GX 460,2011,96690,24900,https://www.carsforsale.com/vehicle/details/82025041,Yes,White
GX 460,2015,93932,27890,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=643346855&allListingType=all-cars&maxPrice=35000&priceRange=&makeCodeList=LEXUS&modelCodeList=GX460&city=Atlanta&state=GA&zip=30338&location=&maxMileage=100000&searchRadius=0&marketExtension=include&isNewSearch=false&showAccelerateBanner=false&sortBy=relevance&numRecords=25&firstRecord=50&dma=&referrer=%2Fcars-for-sale%2Fall-cars%2Fcars-under-35000%2Flexus%2Fgx-460%2Fatlanta-ga-30338%3Fdma%3D%26maxMileage%3D100000%26searchRadius%3D0%26priceRange%3D%26location%3D%26marketExtension%3Dinclude%26isNewSearch%3Dfalse%26showAccelerateBanner%3Dfalse%26sortBy%3Drelevance%26numRecords%3D25%26firstRecord%3D50&clickType=listing,Yes,"New Body Style, Starfire Pearl, Black Interior"
GX 460,2013,128338,28990,https://www.carsforsale.com/vehicle/details/85634576,Yes,"Gray, Tan Interior"
GX 460,2014,78492,27250,https://www.carsforsale.com/vehicle/details/82795671,Yes,"New Body Style, Black Onyx, Black Interior"
GX 460,2016,79691,33995,https://www.carsforsale.com/vehicle/details/80781164,Yes,"New Body Style, Nebula Gray Pearl, Black Interior"
